Designator,Mid X,Mid Y,Rotation,Layer
CBAT1,167.742893,-86.292893,0.0,top
CBOOT1,134.817893,-96.067893,270.0,top
CFF1,138.442893,-96.7,0.0,top
CIN1,125.667893,-96.642893,270.0,top
CINX1,129.067893,-95.822893,270.0,top
COUT1,133.792893,-115.817893,270.0,top
COUT2,129.242893,-115.817893,270.0,top
CREG1,163.142893,-85.192893,0.0,top
CREGIN1,167.742893,-83.392893,0.0,top
CSRN1,148.467893,-83.292893,0.0,top
CSRP1,153.242893,-83.292893,180.0,top
CSS1,134.667893,-93.992893,0.0,top
CVDD1,153.842893,-108.742893,180.0,top
CVDD2,164.342893,-99.442893,0.0,top
CVDDA1,158.942893,-111.242893,0.0,top
CVDDA2,158.792893,-114.592893,0.0,top
D1,174.992893,-89.592893,180.0,top
D10,174.992893,-119.692893,180.0,top
D2,174.992893,-92.792893,180.0,top
D3,174.992893,-96.092893,180.0,top
D4,174.992893,-99.492893,180.0,top
D5,174.992893,-102.892893,180.0,top
D6,174.992893,-106.292893,180.0,top
D7,174.992893,-109.692893,180.0,top
D8,174.992893,-112.992893,180.0,top
D9,174.992893,-116.392893,180.0,top
DZ1,171.692893,-78.592893,0.0,top
J1,154.630393,-72.222893,0.0,top
J2,151.467893,-96.417893,0.0,top
L1,131.517893,-105.742893,270.0,top
QBAT1,172.692893,-84.942893,270.0,top
QREGIN1,167.405393,-79.692893,0.0,top
QVEN1,179.642893,-85.630393,180.0,top
RBATB1,175.592893,-79.992893,0.0,top
RBATT1,175.592893,-82.942893,0.0,top
RBOOT1,152.242893,-105.592893,90.0,top
REN_MCU1,160.142893,-116.842893,180.0,top
REN_PD1,127.142893,-93.092893,0.0,top
RFBB1,138.417893,-93.492893,0.0,top
RFBT1,138.427893,-91.142893,0.0,top
RLED1,169.992893,-89.592893,180.0,top
RLED10,169.992893,-119.692893,180.0,top
RLED2,169.992893,-92.792893,180.0,top
RLED3,169.992893,-96.092893,180.0,top
RLED4,169.992893,-99.532893,180.0,top
RLED5,169.992893,-102.892893,180.0,top
RLED6,169.992893,-106.292893,180.0,top
RLED7,169.992893,-109.692893,180.0,top
RLED8,169.992893,-112.992893,180.0,top
RLED9,169.992893,-116.392893,180.0,top
RREGIN1,163.142893,-79.292893,90.0,top
RRESET1,154.592893,-112.492893,0.0,top
RSCL1,160.642893,-95.532893,90.0,top
RSDA1,158.992893,-95.532893,90.0,top
RSRN1,148.467893,-80.492893,0.0,top
RSRP1,153.242893,-80.492893,180.0,top
RT1,131.467893,-90.892893,0.0,top
RTS1,155.742893,-89.542893,90.0,top
RVENB1,181.742893,-82.242893,0.0,top
RVENT1,181.752893,-79.942893,0.0,top
SW_BOOT1,147.342893,-107.642893,0.0,top
SW_RESET1,153.992893,-114.642893,0.0,top
SW_WAKE1,159.492891,-122.192894,180.0,top
TH1,152.267893,-89.742893,0.0,top
U1,160.913893,-88.942894,180.0,top
U2,159.292893,-104.067893,0.0,top
U3,131.467993,-94.292704,0.0,top
